Частота,Канал A
(kГц),(В)

0.00000000,3.57263300
0.04768372,2.47896400
0.09536743,1.68621300
0.14305115,0.52962320
0.19073486,0.03747188
0.23841858,0.01285272
0.28610229,0.00960061
0.33378601,0.00775202
0.38146973,0.00768441
0.42915344,0.00444533
0.47683716,0.00320866
0.52452087,0.00204029
0.57220459,0.00115616
0.61988831,0.00052050
0.66757202,0.00077830
0.71525574,0.00135599
0.76293945,0.00124058
0.81062317,0.00198952
0.85830688,0.00147571
0.90599060,0.00153223
0.95367432,0.00129874
1.00135803,0.00128805
1.04904175,0.00051566
1.09672546,0.00054679
1.14440918,0.00008123
1.19209290,0.00016622
1.23977661,0.00037603
1.28746033,0.00026878
1.33514404,0.00057997
1.38282776,0.00043210
1.43051147,0.00061228
1.47819519,0.00016681
1.52587891,0.00023305
1.57356262,0.00020694
1.62124634,0.00021585
1.66893005,0.00037839
1.71661377,0.00015523
1.76429749,0.00027971
1.81198120,0.00005529
1.85966492,0.00010543
1.90734863,0.00024491
1.95503235,0.00035876
2.00271606,0.00059784
2.05039978,0.00070542
2.09808350,0.00119206
2.14576721,0.00113081
2.19345093,0.00114223
2.24113464,0.00134587
2.28881836,0.00134441
2.33650208,0.00089839
2.38418579,0.00072507
2.43186951,0.00030540
2.47955322,0.00061732
2.52723694,0.00198567
2.57492065,0.00295035
2.62260437,0.00354857
2.67028809,0.00545029
2.71797180,0.00701995
2.76565552,0.00674684
2.81333923,0.00830513
2.86102295,0.00980158
2.90870667,0.00765297
2.95639038,0.00373441
3.00407410,0.00076367
3.05175781,0.00392437
3.09944153,0.00148265
3.14712524,0.00696250
3.19480896,0.01348345
3.24249268,0.01813101
3.29017639,0.02082346
3.33786011,0.01617431
3.38554382,0.01039339
3.43322754,0.00933563
3.48091125,0.00703993
3.52859497,0.00379056
3.57627869,0.00229516
3.62396240,0.00116413
3.67164612,0.00032952
3.71932983,0.00136751
3.76701355,0.00187722
3.81469727,0.00183241
3.86238098,0.00227629
3.91006470,0.00236083
3.95774841,0.00189759
4.00543213,0.00162023
4.05311584,0.00157716
4.10079956,0.00099413
4.14848328,0.00066976
4.19616699,0.00045188
4.24385071,0.00033173
4.29153442,0.00021697
4.33921814,0.00033377
4.38690186,0.00046963
4.43458557,0.00047842
4.48226929,0.00067569
4.52995300,0.00052728
4.57763672,0.00050921
4.62532043,0.00044448
4.67300415,0.00042965
4.72068787,0.00027048
4.76837158,0.00028627
4.81605530,0.00024462
4.86373901,0.00022516
4.91142273,0.00018437
4.95910645,0.00032991
5.00679016,0.00047866
5.05447388,0.00068020
5.10215759,0.00072341
5.14984131,0.00097943
5.19752502,0.00120505
5.24520874,0.00117024
5.29289246,0.00126506
5.34057617,0.00139098
5.38825989,0.00111459
5.43594360,0.00067363
5.48362732,0.00022567
5.53131104,0.00024481
5.57899475,0.00107296
5.62667847,0.00227766
5.67436218,0.00275182
5.72204590,0.00358866
5.76972961,0.00546968
5.81741333,0.00579071
5.86509705,0.00550559
5.91278076,0.00664010
5.96046448,0.00611569
6.00814819,0.00325643
6.05583191,0.00052053
6.10351563,0.00367418
6.15119934,0.00140362
6.19888306,0.01193773
6.24656677,0.02660525
6.29425049,0.03313444
6.34193420,0.03781108
6.38961792,0.03438769
6.43730164,0.02003432
6.48498535,0.01206785
6.53266907,0.01014234
6.58035278,0.00611035
6.62803650,0.00297107
6.67572021,0.00161215
6.72340393,0.00030239
6.77108765,0.00110180
6.81877136,0.00215986
6.86645508,0.00235619
6.91413879,0.00254499
6.96182251,0.00309572
7.00950623,0.00272652
7.05718994,0.00192850
7.10487366,0.00170878
7.15255737,0.00123142
7.20024109,0.00063425
7.24792480,0.00036730
7.29560852,0.00019430
7.34329224,0.00010553
7.39097595,0.00035945
7.43865967,0.00046889
7.48634338,0.00034497
7.53402710,0.00036557
7.58171082,0.00034261
7.62939453,0.00035336
7.67707825,0.00034498
7.72476196,0.00043148
7.77244568,0.00030772
7.82012939,0.00025300
7.86781311,0.00016436
7.91549683,0.00012680
7.96318054,0.00011693
8.01086426,0.00010941
8.05854797,0.00014677
8.10623169,0.00032478
8.15391541,0.00048396
8.20159912,0.00058529
8.24928284,0.00098685
8.29696655,0.00105998
8.34465027,0.00106066
8.39233398,0.00111535
8.44001770,0.00100290
8.48770142,0.00054710
8.53538513,0.00011344
8.58306885,0.00053178
8.63075256,0.00100956
8.67843628,0.00213194
8.72612000,0.00293065
8.77380371,0.00311671
8.82148743,0.00407815
8.86917114,0.00512034
8.91685486,0.00438234
8.96453857,0.00435098
9.01222229,0.00442514
9.05990601,0.00282842
9.10758972,0.00033485
9.15527344,0.00364245
9.20295715,0.00153855
9.25064087,0.05338587
9.29832458,0.15196930
9.34600830,0.20614490
9.39369202,0.21435900
9.44137573,0.20709220
9.48905945,0.13249780
9.53674316,0.04427145
9.58442688,0.01507587
9.63211060,0.00956102
9.67979431,0.00416920
9.72747803,0.00126774
9.77516174,0.00041199
9.82284546,0.00149858
9.87052917,0.00278815
9.91821289,0.00336477
9.96589661,0.00293035
10.01358032,0.00308901
10.06126404,0.00322252
10.10894775,0.00231434
10.15663147,0.00176665
10.20431519,0.00150662
10.25199890,0.00079823
10.29968262,0.00016003
10.34736633,0.00016036
10.39505005,0.00042905
10.44273376,0.00056262
10.49041748,0.00069375
10.53810120,0.00064241
10.58578491,0.00058625
10.63346863,0.00062510
10.68115234,0.00058013
10.72883606,0.00036667
10.77651978,0.00032001
10.82420349,0.00029182
10.87188721,0.00024371
10.91957092,0.00028281
10.96725464,0.00026301
11.01493835,0.00028825
11.06262207,0.00029831
11.11030579,0.00029422
11.15798950,0.00037320
11.20567322,0.00045400
11.25335693,0.00041963
11.30104065,0.00060574
11.34872437,0.00083179
11.39640808,0.00082690
11.44409180,0.00083029
11.49177551,0.00081784
11.53945923,0.00046719
11.58714294,0.00017571
11.63482666,0.00044577
11.68251038,0.00064545
11.73019409,0.00109350
11.77787781,0.00200129
11.82556152,0.00238433
11.87324524,0.00274431
11.92092896,0.00400202
11.96861267,0.00419199
12.01629639,0.00346605
12.06398010,0.00340146
12.11166382,0.00279806
12.15934753,0.00077983
12.20703125,0.00227717
12.25471497,0.00531407
12.30239868,0.01192467
12.35008240,0.03358749
12.39776611,0.05572180
12.44544983,0.05755960
12.49313354,0.05042801
12.54081726,0.03321023
12.58850098,0.00526608
12.63618469,0.01238186
12.68386841,0.01386414
12.73155212,0.00738704
12.77923584,0.00152540
12.82691956,0.00092354
12.87460327,0.00217726
12.92228699,0.00319397
12.96997070,0.00443912
13.01765442,0.00425871
13.06533813,0.00364544
13.11302185,0.00383586
13.16070557,0.00332062
13.20838928,0.00216326
13.25607300,0.00179866
13.30375671,0.00134764
13.35144043,0.00062449
13.39912415,0.00018765
13.44680786,0.00030629
13.49449158,0.00057900
13.54217529,0.00080896
13.58985901,0.00094966
13.63754272,0.00084309
13.68522644,0.00083555
13.73291016,0.00084982
13.78059387,0.00066090
13.82827759,0.00042418
13.87596130,0.00038521
13.92364502,0.00031974
13.97132874,0.00024990
14.01901245,0.00015851
14.06669617,0.00017661
14.11437988,0.00019171
14.16206360,0.00021990
14.20974731,0.00023353
14.25743103,0.00042322
14.30511475,0.00050989
14.35279846,0.00056557
14.40048218,0.00073173
14.44816589,0.00081822
14.49584961,0.00064508
14.54353333,0.00059845
14.59121704,0.00053397
14.63890076,0.00032144
14.68658447,0.00028803
14.73426819,0.00068734
14.78195190,0.00109567
14.82963562,0.00194956
14.87731934,0.00271257
14.92500305,0.00263389
14.97268677,0.00298173
15.02037048,0.00351704
15.06805420,0.00294888
15.11573792,0.00228171
15.16342163,0.00189267
15.21110535,0.00077798
15.25878906,0.00155542
15.30647278,0.00458258
15.35415649,0.00665167
15.40184021,0.01203450
15.44952393,0.02311450
15.49720764,0.02755521
15.54489136,0.02159194
15.59257507,0.00962814
15.64025879,0.00632587
15.68794250,0.01820282
15.73562622,0.02190171
15.78330994,0.01573369
15.83099365,0.00504069
15.87867737,0.00098380
15.92636108,0.00301581
15.97404480,0.00371166
16.02172852,0.00499558
16.06941223,0.00575005
16.11709595,0.00461538
16.16477966,0.00404462
16.21246338,0.00394600
16.26014709,0.00265326
16.30783081,0.00162698
16.35551453,0.00119627
16.40319824,0.00053691
16.45088196,0.00020282
16.49856567,0.00059413
16.54624939,0.00079018
16.59393311,0.00088432
16.64161682,0.00108342
16.68930054,0.00102968
16.73698425,0.00086608
16.78466797,0.00086640
16.83235168,0.00075021
16.88003540,0.00044933
16.92771912,0.00040999
16.97540283,0.00044196
17.02308655,0.00042580
17.07077026,0.00039704
17.11845398,0.00023177
17.16613770,0.00005362
17.21382141,0.00019011
17.26150513,0.00025164
17.30918884,0.00027283
17.35687256,0.00028795
17.40455627,0.00022887
17.45223999,0.00020650
17.49992371,0.00036224
17.54760742,0.00036889
17.59529114,0.00032883
17.64297485,0.00035392
17.69065857,0.00032780
17.73834229,0.00034845
17.78602600,0.00073150
17.83370972,0.00102662
17.88139343,0.00143974
17.92907715,0.00226310
17.97676086,0.00262330
18.02444458,0.00255008
18.07212830,0.00296038
18.11981201,0.00290915
18.16749573,0.00207600
18.21517944,0.00131348
18.26286316,0.00050387
18.31054688,0.00103118
18.35823059,0.00365063
18.40591431,0.00613512
18.45359802,0.00765195
18.50128174,0.01286102
18.54896545,0.01848951
18.59664917,0.01422138
18.64433289,0.00789073
18.69201660,0.04021734
18.73970032,0.05868522
18.78738403,0.06385442
18.83506775,0.05711007
18.88275146,0.02922012
18.93043518,0.00360842
18.97811890,0.00493214
19.02580261,0.00588868
19.07348633,0.00583958
19.12117004,0.00694377
19.16885376,0.00625095
19.21653748,0.00444832
19.26422119,0.00417110
19.31190491,0.00353648
19.35958862,0.00204889
19.40727234,0.00124601
19.45495605,0.00064101
19.50263977,0.00019629
19.55032349,0.00084563
19.59800720,0.00116346
19.64569092,0.00103149
19.69337463,0.00106323
19.74105835,0.00108799
19.78874207,0.00078801
19.83642578,0.00064518
19.88410950,0.00069026
19.93179321,0.00054931
19.97947693,0.00043117
20.02716064,0.00037534
20.07484436,0.00038008
20.12252808,0.00027315
20.17021179,0.00018917
20.21789551,0.00019612
20.26557922,0.00021427
20.31326294,0.00017174
20.36094666,0.00013285
20.40863037,0.00016538
20.45631409,0.00016262
20.50399780,0.00022690
20.55168152,0.00025614
20.59936523,0.00038062
20.64704895,0.00036537
20.69473267,0.00028691
20.74241638,0.00018964
20.79010010,0.00004920
20.83778381,0.00042178
20.88546753,0.00079268
20.93315125,0.00093537
20.98083496,0.00146722
21.02851868,0.00201773
21.07620239,0.00186404
21.12388611,0.00181305
21.17156982,0.00203367
21.21925354,0.00163471
21.26693726,0.00099615
21.31462097,0.00038215
21.36230469,0.00056621
21.40998840,0.00220619
21.45767212,0.00483931
21.50535583,0.00621284
21.55303955,0.00782144
21.60072327,0.01232706
21.64840698,0.01452717
21.69609070,0.01763710
21.74377441,0.03120247
21.79145813,0.04071718
21.83914185,0.03847928
21.88682556,0.03782498
21.93450928,0.03109659
21.98219299,0.01595090
22.02987671,0.00977193
22.07756042,0.01030991
22.12524414,0.00888225
22.17292786,0.00870395
22.22061157,0.00910378
22.26829529,0.00674052
22.31597900,0.00492058
22.36366272,0.00451155
22.41134644,0.00298135
22.45903015,0.00141911
22.50671387,0.00069490
22.55439758,0.00015404
22.60208130,0.00065405
22.64976501,0.00118558
22.69744873,0.00124365
22.74513245,0.00116416
22.79281616,0.00139534
22.84049988,0.00133620
22.88818359,0.00096913
22.93586731,0.00091521
22.98355103,0.00083408
23.03123474,0.00059582
23.07891846,0.00043740
23.12660217,0.00029897
23.17428589,0.00014790
23.22196960,0.00005077
23.26965332,0.00020242
23.31733704,0.00021404
23.36502075,0.00017553
23.41270447,0.00015161
23.46038818,0.00014820
23.50807190,0.00023471
23.55575562,0.00028400
23.60343933,0.00037702
23.65112305,0.00045519
23.69880676,0.00041253
23.74649048,0.00024853
23.79417419,0.00013452
23.84185791,0.00037426
23.88954163,0.00065829
23.93722534,0.00112030
23.98490906,0.00132413
24.03259277,0.00140648
24.08027649,0.00182386
24.12796021,0.00196611
24.17564392,0.00164981
24.22332764,0.00162949
24.27101135,0.00154631
24.31869507,0.00097271
24.36637878,0.00024604
24.41406250,0.00049952
24.46174622,0.00126074
24.50942993,0.00312095
24.55711365,0.00506916
24.60479736,0.00553375
24.65248108,0.00759476
24.70016479,0.01054987
24.74784851,0.01032019
24.79553223,0.01123279
24.84321594,0.01421147
24.89089966,0.01316935
24.93858337,0.01316824
24.98626709,0.01750333
25.03395081,0.01750387
25.08163452,0.01588927
25.12931824,0.01805339
25.17700195,0.01614513
25.22468567,0.01162947
25.27236938,0.01128205
25.32005310,0.00990608
25.36773682,0.00636286
25.41542053,0.00511170
25.46310425,0.00414332
25.51078796,0.00205779
25.55847168,0.00065196
25.60615540,0.00018047
25.65383911,0.00084662
25.70152283,0.00155535
25.74920654,0.00195592
25.79689026,0.00166476
25.84457397,0.00156323
25.89225769,0.00171867
25.93994141,0.00136757
25.98762512,0.00106249
26.03530884,0.00101517
26.08299255,0.00072588
26.13067627,0.00036158
26.17835999,0.00018279
26.22604370,0.00017945
26.27372742,0.00025004
26.32141113,0.00027699
26.36909485,0.00020079
26.41677856,0.00011858
26.46446228,0.00013167
26.51214600,0.00009888
26.55982971,0.00003920
26.60751343,0.00015026
26.65519714,0.00021789
26.70288086,0.00022963
26.75056458,0.00013608
26.79824829,0.00013380
26.84593201,0.00035299
26.89361572,0.00060524
26.94129944,0.00074893
26.98898315,0.00093245
27.03666687,0.00112680
27.08435059,0.00100300
27.13203430,0.00103340
27.17971802,0.00133480
27.22740173,0.00125634
27.27508545,0.00113157
27.32276917,0.00121022
27.37045288,0.00095066
27.41813660,0.00037093
27.46582031,0.00064372
27.51350403,0.00124071
27.56118774,0.00217220
27.60887146,0.00405994
27.65655518,0.00500974
27.70423889,0.00538278
