Частота,Канал A
(kГц),(В)

0.00000000,3.57625100
0.04768372,2.48356800
0.09536743,1.69345400
0.14305115,0.53895870
0.19073486,0.05271656
0.23841858,0.01069802
0.28610229,0.00772594
0.33378601,0.00753801
0.38146973,0.00613751
0.42915344,0.00428245
0.47683716,0.00290393
0.52452087,0.00276043
0.57220459,0.00123876
0.61988831,0.00113997
0.66757202,0.00114868
0.71525574,0.00170588
0.76293945,0.00144953
0.81062317,0.00196053
0.85830688,0.00142053
0.90599060,0.00123563
0.95367432,0.00103390
1.00135803,0.00067125
1.04904175,0.00040863
1.09672546,0.00018928
1.14440918,0.00031127
1.19209290,0.00014353
1.23977661,0.00025976
1.28746033,0.00030129
1.33514404,0.00054628
1.38282776,0.00044680
1.43051147,0.00059844
1.47819519,0.00036594
1.52587891,0.00051945
1.57356262,0.00028623
1.62124634,0.00050270
1.66893005,0.00034335
1.71661377,0.00039794
1.76429749,0.00019067
1.81198120,0.00015908
1.85966492,0.00006380
1.90734863,0.00034050
1.95503235,0.00050321
2.00271606,0.00080287
2.05039978,0.00076271
2.09808350,0.00105596
2.14576721,0.00093902
2.19345093,0.00079409
2.24113464,0.00093325
2.28881836,0.00087416
2.33650208,0.00080443
2.38418579,0.00059924
2.43186951,0.00042602
2.47955322,0.00041738
2.52723694,0.00148656
2.57492065,0.00249026
2.62260437,0.00288113
2.67028809,0.00423622
2.71797180,0.00579861
2.76565552,0.00576920
2.81333923,0.00673912
2.86102295,0.00791184
2.90870667,0.00718538
2.95639038,0.00642118
3.00407410,0.00667530
3.05175781,0.00623706
3.09944153,0.00734989
3.14712524,0.01310978
3.19480896,0.01620711
3.24249268,0.01734383
3.29017639,0.01770877
3.33786011,0.01295834
3.38554382,0.00858646
3.43322754,0.00787557
3.48091125,0.00543567
3.52859497,0.00300963
3.57627869,0.00247501
3.62396240,0.00165402
3.67164612,0.00070193
3.71932983,0.00094248
3.76701355,0.00127708
3.81469727,0.00135863
3.86238098,0.00153719
3.91006470,0.00164273
3.95774841,0.00125328
4.00543213,0.00121326
4.05311584,0.00105210
4.10079956,0.00067097
4.14848328,0.00060587
4.19616699,0.00051893
4.24385071,0.00039540
4.29153442,0.00045784
4.33921814,0.00062655
4.38690186,0.00076138
4.43458557,0.00078761
4.48226929,0.00076574
4.52995300,0.00065539
4.57763672,0.00046348
4.62532043,0.00047839
4.67300415,0.00040694
4.72068787,0.00047019
4.76837158,0.00040053
4.81605530,0.00038412
4.86373901,0.00017656
4.91142273,0.00010921
4.95910645,0.00009537
5.00679016,0.00020691
5.05447388,0.00030011
5.10215759,0.00044528
5.14984131,0.00064442
5.19752502,0.00089981
5.24520874,0.00084975
5.29289246,0.00096043
5.34057617,0.00107216
5.38825989,0.00084437
5.43594360,0.00068031
5.48362732,0.00074751
5.53131104,0.00084291
5.57899475,0.00135230
5.62667847,0.00242805
5.67436218,0.00287649
5.72204590,0.00317238
5.76972961,0.00442121
5.81741333,0.00485678
5.86509705,0.00460991
5.91278076,0.00521211
5.96046448,0.00481904
6.00814819,0.00384866
6.05583191,0.00469962
6.10351563,0.00635676
6.15119934,0.00688050
6.19888306,0.01781042
6.24656677,0.03038703
6.29425049,0.03368770
6.34193420,0.03488571
6.38961792,0.02940369
6.43730164,0.01602925
6.48498535,0.01064372
6.53266907,0.00900704
6.58035278,0.00500969
6.62803650,0.00275439
6.67572021,0.00214374
6.72340393,0.00138250
6.77108765,0.00142444
6.81877136,0.00201200
6.86645508,0.00201371
6.91413879,0.00195872
6.96182251,0.00217333
7.00950623,0.00185725
7.05718994,0.00146541
7.10487366,0.00137700
7.15255737,0.00087600
7.20024109,0.00035771
7.24792480,0.00021376
7.29560852,0.00005800
7.34329224,0.00021083
7.39097595,0.00024347
7.43865967,0.00021246
7.48634338,0.00023373
7.53402710,0.00033073
7.58171082,0.00039676
7.62939453,0.00045154
7.67707825,0.00046993
7.72476196,0.00055009
7.77244568,0.00045114
7.82012939,0.00040462
7.86781311,0.00022530
7.91549683,0.00017924
7.96318054,0.00020197
8.01086426,0.00021101
8.05854797,0.00026610
8.10623169,0.00065586
8.15391541,0.00081832
8.20159912,0.00094136
8.24928284,0.00101084
8.29696655,0.00097719
8.34465027,0.00086500
8.39233398,0.00094846
8.44001770,0.00083795
8.48770142,0.00057868
8.53538513,0.00040015
8.58306885,0.00064366
8.63075256,0.00074256
8.67843628,0.00148633
8.72612000,0.00227070
8.77380371,0.00247614
8.82148743,0.00326550
8.86917114,0.00411680
8.91685486,0.00392142
8.96453857,0.00383374
9.01222229,0.00391982
9.05990601,0.00290580
9.10758972,0.00305787
9.15527344,0.00519528
9.20295715,0.00744216
9.25064087,0.05818562
9.29832458,0.15633780
9.34600830,0.20824290
9.39369202,0.21264910
9.44137573,0.20090480
9.48905945,0.12400700
9.53674316,0.03619273
9.58442688,0.01192342
9.63211060,0.00789284
9.67979431,0.00334751
9.72747803,0.00205436
9.77516174,0.00180413
9.82284546,0.00180638
9.87052917,0.00238056
9.91821289,0.00285779
9.96589661,0.00267367
10.01358032,0.00278100
10.06126404,0.00263686
10.10894775,0.00187364
10.15663147,0.00152495
10.20431519,0.00138016
10.25199890,0.00085070
10.29968262,0.00056991
10.34736633,0.00050422
10.39505005,0.00042086
10.44273376,0.00046267
10.49041748,0.00064293
10.53810120,0.00067901
10.58578491,0.00067487
10.63346863,0.00068250
10.68115234,0.00058681
10.72883606,0.00053521
10.77651978,0.00056482
10.82420349,0.00054485
10.87188721,0.00039847
10.91957092,0.00033307
10.96725464,0.00021523
11.01493835,0.00012046
11.06262207,0.00028216
11.11030579,0.00033893
11.15798950,0.00039137
11.20567322,0.00054976
11.25335693,0.00064284
11.30104065,0.00080898
11.34872437,0.00087857
11.39640808,0.00078389
11.44409180,0.00069598
11.49177551,0.00062736
11.53945923,0.00044465
11.58714294,0.00051170
11.63482666,0.00094373
11.68251038,0.00124447
11.73019409,0.00155372
11.77787781,0.00222326
11.82556152,0.00250999
11.87324524,0.00251337
11.92092896,0.00319995
11.96861267,0.00346076
12.01629639,0.00315122
12.06398010,0.00311488
12.11166382,0.00239596
12.15934753,0.00167392
12.20703125,0.00343637
12.25471497,0.00587739
12.30239868,0.00975707
12.35008240,0.02958195
12.39776611,0.05230000
12.44544983,0.05691982
12.49313354,0.05505062
12.54081726,0.04447697
12.58850098,0.02200717
12.63618469,0.01488295
12.68386841,0.01332565
12.73155212,0.00687176
12.77923584,0.00228605
12.82691956,0.00211862
12.87460327,0.00265093
12.92228699,0.00301316
12.96997070,0.00358221
13.01765442,0.00337825
13.06533813,0.00278845
13.11302185,0.00277112
13.16070557,0.00213941
13.20838928,0.00144689
13.25607300,0.00132002
13.30375671,0.00084111
13.35144043,0.00020223
13.39912415,0.00023130
13.44680786,0.00038349
13.49449158,0.00048620
13.54217529,0.00066443
13.58985901,0.00076398
13.63754272,0.00064304
13.68522644,0.00063097
13.73291016,0.00071016
13.78059387,0.00073560
13.82827759,0.00073290
13.87596130,0.00058590
13.92364502,0.00034860
13.97132874,0.00013026
14.01901245,0.00006497
14.06669617,0.00007546
14.11437988,0.00027287
14.16206360,0.00038852
14.20974731,0.00041649
14.25743103,0.00047226
14.30511475,0.00047735
14.35279846,0.00036651
14.40048218,0.00038828
14.44816589,0.00037165
14.49584961,0.00038851
14.54353333,0.00041343
14.59121704,0.00032045
14.63890076,0.00015628
14.68658447,0.00046521
14.73426819,0.00074341
14.78195190,0.00079325
14.82963562,0.00129069
14.87731934,0.00208612
14.92500305,0.00220016
14.97268677,0.00241832
15.02037048,0.00275993
15.06805420,0.00231988
15.11573792,0.00194999
15.16342163,0.00168463
15.21110535,0.00097454
15.25878906,0.00182225
15.30647278,0.00451101
15.35415649,0.00610250
15.40184021,0.00936737
15.44952393,0.01966455
15.49720764,0.02571480
15.54489136,0.02487264
15.59257507,0.02468092
15.64025879,0.02329681
15.68794250,0.02197044
15.73562622,0.02214716
15.78330994,0.01587459
15.83099365,0.00597415
15.87867737,0.00265392
15.92636108,0.00360495
15.97404480,0.00393355
16.02172852,0.00438001
16.06941223,0.00460176
16.11709595,0.00363818
16.16477966,0.00324721
16.21246338,0.00303628
16.26014709,0.00204068
16.30783081,0.00171675
16.35551453,0.00153373
16.40319824,0.00087687
16.45088196,0.00039767
16.49856567,0.00044014
16.54624939,0.00059790
16.59393311,0.00075636
16.64161682,0.00097637
16.68930054,0.00095125
16.73698425,0.00078980
16.78466797,0.00083948
16.83235168,0.00080974
16.88003540,0.00071997
16.92771912,0.00068133
16.97540283,0.00050966
17.02308655,0.00026182
17.07077026,0.00022949
17.11845398,0.00038713
17.16613770,0.00052938
17.21382141,0.00059839
17.26150513,0.00052598
17.30918884,0.00046857
17.35687256,0.00049248
17.40455627,0.00044866
17.45223999,0.00039239
17.49992371,0.00045887
17.54760742,0.00045070
17.59529114,0.00039349
17.64297485,0.00023943
17.69065857,0.00007878
17.73834229,0.00027805
17.78602600,0.00069953
17.83370972,0.00092430
17.88139343,0.00106332
17.92907715,0.00163118
17.97676086,0.00196202
18.02444458,0.00189828
18.07212830,0.00223230
18.11981201,0.00227726
18.16749573,0.00192954
18.21517944,0.00163252
18.26286316,0.00111728
18.31054688,0.00108228
18.35823059,0.00302703
18.40591431,0.00537817
18.45359802,0.00635523
18.50128174,0.00993249
18.54896545,0.01557077
18.59664917,0.01642096
18.64433289,0.02530531
18.69201660,0.05174141
18.73970032,0.06371684
18.78738403,0.06496749
18.83506775,0.05798169
18.88275146,0.03063952
18.93043518,0.00745433
18.97811890,0.00459313
19.02580261,0.00517020
19.07348633,0.00522979
19.12117004,0.00584877
19.16885376,0.00527300
19.21653748,0.00399433
19.26422119,0.00376069
19.31190491,0.00286891
19.35958862,0.00158030
19.40727234,0.00120713
19.45495605,0.00073266
19.50263977,0.00026219
19.55032349,0.00045932
19.59800720,0.00067921
19.64569092,0.00070635
19.69337463,0.00090792
19.74105835,0.00106125
19.78874207,0.00083648
19.83642578,0.00066463
19.88410950,0.00063876
19.93179321,0.00046655
19.97947693,0.00042771
20.02716064,0.00044103
20.07484436,0.00030145
20.12252808,0.00025868
20.17021179,0.00034347
20.21789551,0.00042402
20.26557922,0.00049538
20.31326294,0.00058832
20.36094666,0.00056579
20.40863037,0.00049086
20.45631409,0.00042250
20.50399780,0.00039800
20.55168152,0.00044597
20.59936523,0.00055065
20.64704895,0.00054649
20.69473267,0.00053806
20.74241638,0.00053049
20.79010010,0.00055577
20.83778381,0.00079549
20.88546753,0.00108640
20.93315125,0.00105722
20.98083496,0.00125798
21.02851868,0.00174105
21.07620239,0.00182922
21.12388611,0.00183285
21.17156982,0.00186634
21.21925354,0.00143741
21.26693726,0.00106581
21.31462097,0.00120721
21.36230469,0.00140668
21.40998840,0.00217441
21.45767212,0.00422634
21.50535583,0.00544126
21.55303955,0.00607948
21.60072327,0.00956848
21.64840698,0.01193162
21.69609070,0.01348048
21.74377441,0.02527571
21.79145813,0.03576776
21.83914185,0.03601044
21.88682556,0.03542865
21.93450928,0.02753474
21.98219299,0.01177128
22.02987671,0.00662320
22.07756042,0.00812036
22.12524414,0.00749417
22.17292786,0.00741447
22.22061157,0.00730608
22.26829529,0.00528774
22.31597900,0.00427697
22.36366272,0.00393599
22.41134644,0.00245096
22.45903015,0.00138563
22.50671387,0.00105078
22.55439758,0.00054218
22.60208130,0.00046462
22.64976501,0.00081074
22.69744873,0.00099255
22.74513245,0.00105160
22.79281616,0.00135116
22.84049988,0.00122832
22.88818359,0.00092648
22.93586731,0.00085166
22.98355103,0.00057495
23.03123474,0.00033101
23.07891846,0.00018958
23.12660217,0.00007134
23.17428589,0.00032719
23.22196960,0.00043104
23.26965332,0.00044303
23.31733704,0.00034211
23.36502075,0.00042198
23.41270447,0.00055937
23.46038818,0.00056665
23.50807190,0.00057724
23.55575562,0.00041603
23.60343933,0.00016729
23.65112305,0.00006325
23.69880676,0.00020432
23.74649048,0.00035570
23.79417419,0.00040103
23.84185791,0.00039561
23.88954163,0.00027004
23.93722534,0.00039774
23.98490906,0.00063517
24.03259277,0.00074005
24.08027649,0.00118403
24.12796021,0.00139799
24.17564392,0.00129971
24.22332764,0.00140816
24.27101135,0.00127673
24.31869507,0.00091396
24.36637878,0.00077676
24.41406250,0.00111331
24.46174622,0.00148425
24.50942993,0.00282874
24.55711365,0.00475712
24.60479736,0.00534135
24.65248108,0.00659224
24.70016479,0.00895915
24.74784851,0.00891268
24.79553223,0.00905302
24.84321594,0.01095245
24.89089966,0.01022596
24.93858337,0.01019250
24.98626709,0.01397917
25.03395081,0.01469272
25.08163452,0.01361028
25.12931824,0.01457960
25.17700195,0.01248191
25.22468567,0.00934980
25.27236938,0.00945111
25.32005310,0.00801422
25.36773682,0.00542931
25.41542053,0.00487982
25.46310425,0.00386520
25.51078796,0.00201532
25.55847168,0.00124529
25.60615540,0.00103612
25.65383911,0.00092607
25.70152283,0.00112294
25.74920654,0.00134029
25.79689026,0.00114229
25.84457397,0.00108164
25.89225769,0.00123970
25.93994141,0.00101944
25.98762512,0.00089866
26.03530884,0.00085523
26.08299255,0.00061975
26.13067627,0.00048184
26.17835999,0.00045306
26.22604370,0.00035289
26.27372742,0.00029945
26.32141113,0.00031743
26.36909485,0.00030628
26.41677856,0.00037307
26.46446228,0.00050787
26.51214600,0.00049789
26.55982971,0.00042279
26.60751343,0.00040778
26.65519714,0.00044148
26.70288086,0.00047431
26.75056458,0.00043389
26.79824829,0.00043465
26.84593201,0.00055367
26.89361572,0.00065230
26.94129944,0.00065053
26.98898315,0.00074673
27.03666687,0.00098220
27.08435059,0.00097430
27.13203430,0.00090579
27.17971802,0.00109808
27.22740173,0.00106198
27.27508545,0.00109108
27.32276917,0.00109134
27.37045288,0.00069068
27.41813660,0.00029952
27.46582031,0.00070379
27.51350403,0.00128154
27.56118774,0.00178807
27.60887146,0.00324143
27.65655518,0.00420847
27.70423889,0.00426948
