
# Curve 0 of 1, 10000 points
# Curve title: "Inputfile using 3:6"
# x y type
 5.55 -2.64327  i
 5.55019 -2.6432  i
 5.55038 -2.64314  i
 5.55057 -2.64307  i
 5.55076 -2.643  i
 5.55095 -2.64293  i
 5.55114 -2.64286  i
 5.55133 -2.64279  i
 5.55152 -2.64273  i
 5.55171 -2.64266  i
 5.5519 -2.64259  i
 5.55209 -2.64252  i
 5.55228 -2.64245  i
 5.55247 -2.64238  i
 5.55266 -2.64232  i
 5.55285 -2.64225  i
 5.55304 -2.64218  i
 5.55323 -2.64211  i
 5.55342 -2.64204  i
 5.55361 -2.64197  i
 5.5538 -2.64191  i
 5.55399 -2.64184  i
 5.55418 -2.64177  i
 5.55437 -2.6417  i
 5.55456 -2.64163  i
 5.55475 -2.64156  i
 5.55494 -2.6415  i
 5.55513 -2.64143  i
 5.55532 -2.64136  i
 5.55551 -2.64129  i
 5.5557 -2.64122  i
 5.55589 -2.64115  i
 5.55608 -2.64109  i
 5.55627 -2.64102  i
 5.55646 -2.64095  i
 5.55665 -2.64088  i
 5.55684 -2.64081  i
 5.55703 -2.64074  i
 5.55722 -2.64068  i
 5.55741 -2.64061  i
 5.5576 -2.64054  i
 5.55779 -2.64047  i
 5.55798 -2.6404  i
 5.55817 -2.64033  i
 5.55836 -2.64027  i
 5.55855 -2.6402  i
 5.55874 -2.64013  i
 5.55893 -2.64006  i
 5.55912 -2.63999  i
 5.55931 -2.63992  i
 5.5595 -2.63986  i
 5.55969 -2.63979  i
 5.55988 -2.63972  i
 5.56007 -2.63965  i
 5.56026 -2.63958  i
 5.56045 -2.63951  i
 5.56064 -2.63945  i
 5.56083 -2.63938  i
 5.56102 -2.63931  i
 5.56121 -2.63924  i
 5.5614 -2.63917  i
 5.56159 -2.6391  i
 5.56178 -2.63903  i
 5.56197 -2.63897  i
 5.56216 -2.6389  i
 5.56235 -2.63883  i
 5.56254 -2.63876  i
 5.56273 -2.63869  i
 5.56292 -2.63862  i
 5.56311 -2.63856  i
 5.5633 -2.63849  i
 5.56349 -2.63842  i
 5.56368 -2.63835  i
 5.56387 -2.63828  i
 5.56406 -2.63821  i
 5.56425 -2.63814  i
 5.56444 -2.63808  i
 5.56463 -2.63801  i
 5.56482 -2.63794  i
 5.56501 -2.63787  i
 5.5652 -2.6378  i
 5.56539 -2.63773  i
 5.56558 -2.63766  i
 5.56577 -2.6376  i
 5.56596 -2.63753  i
 5.56615 -2.63746  i
 5.56634 -2.63739  i
 5.56653 -2.63732  i
 5.56672 -2.63725  i
 5.56691 -2.63718  i
 5.5671 -2.63712  i
 5.56729 -2.63705  i
 5.56748 -2.63698  i
 5.56767 -2.63691  i
 5.56786 -2.63684  i
 5.56805 -2.63677  i
 5.56824 -2.6367  i
 5.56843 -2.63664  i
 5.56862 -2.63657  i
 5.56881 -2.6365  i
 5.569 -2.63643  i
 5.56919 -2.63636  i
 5.56938 -2.63629  i
 5.56957 -2.63622  i
 5.56976 -2.63616  i
 5.56995 -2.63609  i
 5.57014 -2.63602  i
 5.57033 -2.63595  i
 5.57052 -2.63588  i
 5.57071 -2.63581  i
 5.5709 -2.63574  i
 5.57109 -2.63567  i
 5.57128 -2.63561  i
 5.57147 -2.63554  i
 5.57166 -2.63547  i
 5.57185 -2.6354  i
 5.57204 -2.63533  i
 5.57223 -2.63526  i
 5.57242 -2.63519  i
 5.57261 -2.63512  i
 5.5728 -2.63506  i
 5.57299 -2.63499  i
 5.57318 -2.63492  i
 5.57337 -2.63485  i
 5.57356 -2.63478  i
 5.57375 -2.63471  i
 5.57394 -2.63464  i
 5.57413 -2.63457  i
 5.57432 -2.6345  i
 5.57451 -2.63444  i
 5.5747 -2.63437  i
 5.57489 -2.6343  i
 5.57508 -2.63423  i
 5.57527 -2.63416  i
 5.57546 -2.63409  i
 5.57565 -2.63402  i
 5.57584 -2.63395  i
 5.57603 -2.63388  i
 5.57622 -2.63382  i
 5.57641 -2.63375  i
 5.5766 -2.63368  i
 5.57679 -2.63361  i
 5.57698 -2.63354  i
 5.57717 -2.63347  i
 5.57736 -2.6334  i
 5.57755 -2.63333  i
 5.57774 -2.63326  i
 5.57793 -2.63319  i
 5.57812 -2.63313  i
 5.57831 -2.63306  i
 5.5785 -2.63299  i
 5.57869 -2.63292  i
 5.57888 -2.63285  i
 5.57907 -2.63278  i
 5.57926 -2.63271  i
 5.57945 -2.63264  i
 5.57964 -2.63257  i
 5.57983 -2.6325  i
 5.58002 -2.63243  i
 5.58021 -2.63237  i
 5.5804 -2.6323  i
 5.58059 -2.63223  i
 5.58078 -2.63216  i
 5.58097 -2.63209  i
 5.58116 -2.63202  i
 5.58135 -2.63195  i
 5.58154 -2.63188  i
 5.58173 -2.63181  i
 5.58192 -2.63174  i
 5.58211 -2.63167  i
 5.5823 -2.6316  i
 5.58249 -2.63153  i
 5.58268 -2.63147  i
 5.58287 -2.6314  i
 5.58306 -2.63133  i
 5.58325 -2.63126  i
 5.58344 -2.63119  i
 5.58363 -2.63112  i
 5.58382 -2.63105  i
 5.58401 -2.63098  i
 5.5842 -2.63091  i
 5.58439 -2.63084  i
 5.58458 -2.63077  i
 5.58477 -2.6307  i
 5.58496 -2.63063  i
 5.58515 -2.63056  i
 5.58534 -2.63049  i
 5.58553 -2.63042  i
 5.58572 -2.63035  i
 5.58591 -2.63029  i
 5.5861 -2.63022  i
 5.58629 -2.63015  i
 5.58648 -2.63008  i
 5.58667 -2.63001  i
 5.58686 -2.62994  i
 5.58705 -2.62987  i
 5.58724 -2.6298  i
