"U,  V","I, uA"
0.4,3.72
1.0,14.80
1.5,25.33
2.0,40.41
2.5,58.43
3.0,75.75
3.5,96.60
4.0,118.11
4.5,141.55
5.0,166.55
5.5,193.09
6.0,216.85
7.0,273.22
8.0,336.30
9.0,404.02
10.0,471.48
15.0,925.1
20.0,1432.9
25.0,2030.0
30.0,2676.4
35.0,3354.8
40.0,4071.3
45.0,4834.1
