"U,  V","I, uA"
0.5,8.60
1.0,19.50
1.5,36.25
2.0,50.39
2.5,68.56
3.0,88.59
3.5,110.42
4.0,135.14
4.5,159.85
5.0,183.00
5.4,208.66
6.0,239.94
7.0,297.30
8.0,362.50
9.0,430.65
10.0,504.52
15.0,975.7
20.0,1507.8
25.0,2114.1
30.0,2778.4
35.0,3497.8
40.1,4289.9
45.0,5193
50.0,6049
