13/14/15/16: ,U,I,dI,dU,U^3/2,dU^3/2
0,0.5,8.6,0.0172,0.1,0.3535533905932738,0.10606601717798216
1,1.0,19.5,0.039,0.1,1.0,0.15000000000000002
2,1.5,36.25,0.0725,0.1,1.8371173070873836,0.18371173070873836
3,2.0,50.39,0.10078000000000001,0.1,2.8284271247461903,0.2121320343559643
4,2.5,68.56,0.13712000000000002,0.1,3.952847075210474,0.23717082451262844
5,3.0,88.59,0.17718,0.1,5.196152422706632,0.2598076211353316
6,3.5,110.42,0.22084,0.1,6.547900426854397,0.2806243040080456
7,4.0,135.14,0.27027999999999996,0.1,8.0,0.30000000000000004
8,4.5,159.85,0.3197,0.1,9.545941546018392,0.3181980515339464
9,5.0,183.0,0.366,0.1,11.180339887498949,0.33541019662496846
10,5.4,208.66,0.41732,0.1,12.548466041712032,0.34856850115866755
11,6.0,239.94,0.47988000000000003,0.1,14.696938456699069,0.3674234614174767
12,7.0,297.3,0.5946,0.1,18.520259177452136,0.39686269665968865
13,8.0,362.5,0.725,0.1,22.627416997969522,0.4242640687119286
14,9.0,430.65,0.8613,0.1,27.0,0.45
15,10.0,504.52,1.00904,0.1,31.622776601683793,0.4743416490252569
16,15.0,975.7,1.9514,0.1,58.09475019311125,0.5809475019311126
17,20.0,1507.8,3.0156,0.1,89.44271909999159,0.6708203932499369
18,25.0,2114.1,4.2282,0.1,125.0,0.75
19,30.0,2778.4,5.5568,0.1,164.31676725154983,0.8215838362577492
20,35.0,3497.8,6.9956000000000005,0.1,207.06279240848656,0.8874119674649424
21,40.1,4289.9,8.579799999999999,0.1,253.93148879176053,0.9498684119392539
22,45.0,5193.0,10.386000000000001,0.1,301.8691769624716,1.0062305898749053
23,50.0,6049.0,12.098,0.1,353.5533905932738,1.0606601717798214

