"U,  V","I, uA"
0.5,15.09
1.0,30.01
1.5,46.74
2.0,63.01
2.5,86.94
2.9,104.44
3.5,130.00
4.0,153.80
4.5,181.16
5.0,206.61
5.5,234.32
6.0,263.87
7.0,325.83
8.0,392.85
9.0,465.04
10.0,577.8
15.0,1025.6
20.0,1568.1
25.0,2188.4
30.1,2879.3
34.9,3594.2
40.0,4383.2
45.0,5301
49.9,6180
