Частота,Канал A
(kГц),(В)

0.00000000,3.90273700
0.04768372,2.71131400
0.09536743,1.84956700
0.14305115,0.58818640
0.19073486,0.05431549
0.23841858,0.00341760
0.28610229,0.00311473
0.33378601,0.00306164
0.38146973,0.00243888
0.42915344,0.00254086
0.47683716,0.00168764
0.52452087,0.00180021
0.57220459,0.00109829
0.61988831,0.00137468
0.66757202,0.00095408
0.71525574,0.00095802
0.76293945,0.00056155
0.81062317,0.00172558
0.85830688,0.00274307
0.90599060,0.00431464
0.95367432,0.01906189
1.00135803,0.03154448
1.04904175,0.03588145
1.09672546,0.03753424
1.14440918,0.02921764
1.19209290,0.01329716
1.23977661,0.00570964
1.28746033,0.00375574
1.33514404,0.00269439
1.38282776,0.00212005
1.43051147,0.00146861
1.47819519,0.00117907
1.52587891,0.00106544
1.57356262,0.00104788
1.62124634,0.00129202
1.66893005,0.00153622
1.71661377,0.00202704
1.76429749,0.00273649
1.81198120,0.00339875
1.85966492,0.00458526
1.90734863,0.00600553
1.95503235,0.00682995
2.00271606,0.00569634
2.05039978,0.00769821
2.09808350,0.00912157
2.14576721,0.01092874
2.19345093,0.00925730
2.24113464,0.00397419
2.28881836,0.00137222
2.33650208,0.00132075
2.38418579,0.00179044
2.43186951,0.00211396
2.47955322,0.00241093
2.52723694,0.00236425
2.57492065,0.00237157
2.62260437,0.00234242
2.67028809,0.00247737
2.71797180,0.00266287
2.76565552,0.00276316
2.81333923,0.00278738
2.86102295,0.00262864
2.90870667,0.00233080
2.95639038,0.00170451
3.00407410,0.00067880
3.05175781,0.00303559
3.09944153,0.00595168
3.14712524,0.00769682
3.19480896,0.00913130
3.24249268,0.00854110
3.29017639,0.00635012
3.33786011,0.00494727
3.38554382,0.00426668
3.43322754,0.00366907
3.48091125,0.00315318
3.52859497,0.00254948
3.57627869,0.00209899
3.62396240,0.00169210
3.67164612,0.00128970
3.71932983,0.00084891
3.76701355,0.00051192
3.81469727,0.00045292
3.86238098,0.00106231
3.91006470,0.00188616
3.95774841,0.00355549
4.00543213,0.00680352
4.05311584,0.00990011
4.10079956,0.00841208
4.14848328,0.00658640
4.19616699,0.00660893
4.24385071,0.00890960
4.29153442,0.00944561
4.33921814,0.00609326
4.38690186,0.00329905
4.43458557,0.00219014
4.48226929,0.00142433
4.52995300,0.00114670
4.57763672,0.00100612
4.62532043,0.00119014
4.67300415,0.00136307
4.72068787,0.00160882
4.76837158,0.00187497
4.81605530,0.00249081
4.86373901,0.00300727
4.91142273,0.00358940
4.95910645,0.00416430
5.00679016,0.00512922
5.05447388,0.00673834
5.10215759,0.00872051
5.14984131,0.00859860
5.19752502,0.00697596
5.24520874,0.00506909
5.29289246,0.00196689
5.34057617,0.00109197
5.38825989,0.00194995
5.43594360,0.00243854
5.48362732,0.00266199
5.53131104,0.00267514
5.57899475,0.00256246
5.62667847,0.00245594
5.67436218,0.00238460
5.72204590,0.00229648
5.76972961,0.00228828
5.81741333,0.00229657
5.86509705,0.00219718
5.91278076,0.00195827
5.96046448,0.00153488
6.00814819,0.00103216
6.05583191,0.00161067
6.10351563,0.00539193
6.15119934,0.01054373
6.19888306,0.01112197
6.24656677,0.00917633
6.29425049,0.00741557
6.34193420,0.00575665
6.38961792,0.00711347
6.43730164,0.00604021
6.48498535,0.00454676
6.53266907,0.00355224
6.58035278,0.00280617
6.62803650,0.00215614
6.67572021,0.00156890
6.72340393,0.00103334
6.77108765,0.00062862
6.81877136,0.00049691
6.86645508,0.00063302
6.91413879,0.00100971
6.96182251,0.00155657
7.00950623,0.00244734
7.05718994,0.00386804
7.10487366,0.00686816
7.15255737,0.01724995
7.20024109,0.03305630
7.24792480,0.03862529
7.29560852,0.03577869
7.34329224,0.03017291
7.39097595,0.01497187
7.43865967,0.00333836
7.48634338,0.00313927
7.53402710,0.00172588
7.58171082,0.00109270
7.62939453,0.00125142
7.67707825,0.00166793
7.72476196,0.00180087
7.77244568,0.00189767
7.82012939,0.00190949
7.86781311,0.00203984
7.91549683,0.00223920
7.96318054,0.00264312
8.01086426,0.00303075
8.05854797,0.00338990
8.10623169,0.00366108
8.15391541,0.00488404
8.20159912,0.01648931
8.24928284,0.03791187
8.29696655,0.04863014
8.34465027,0.04919567
8.39233398,0.04577656
8.44001770,0.02812557
8.48770142,0.00923969
8.53538513,0.00419623
8.58306885,0.00377340
8.63075256,0.00339626
8.67843628,0.00302343
8.72612000,0.00269826
8.77380371,0.00239201
8.82148743,0.00213293
8.86917114,0.00185123
8.91685486,0.00156979
8.96453857,0.00115771
9.01222229,0.00078236
9.05990601,0.00048379
9.10758972,0.00072297
9.15527344,0.00166321
9.20295715,0.00285700
9.25064087,0.00676710
9.29832458,0.02243952
9.34600830,0.03256658
9.39369202,0.03596647
9.44137573,0.03653856
9.48905945,0.02522667
9.53674316,0.01077558
9.58442688,0.00510030
9.63211060,0.00333758
9.67979431,0.00231114
9.72747803,0.00164664
9.77516174,0.00114410
9.82284546,0.00082806
9.87052917,0.00075575
9.91821289,0.00096303
9.96589661,0.00120072
10.01358032,0.00164209
10.06126404,0.00230740
10.10894775,0.00309819
10.15663147,0.00396647
10.20431519,0.00528025
10.25199890,0.00695178
10.29968262,0.00677569
10.34736633,0.00573215
10.39505005,0.00756671
10.44273376,0.00905557
10.49041748,0.01054098
10.53810120,0.00772937
10.58578491,0.00297324
10.63346863,0.00123341
10.68115234,0.00152678
10.72883606,0.00200325
10.77651978,0.00214386
10.82420349,0.00229373
10.87188721,0.00244716
10.91957092,0.00256021
10.96725464,0.00257051
11.01493835,0.00246365
11.06262207,0.00235491
11.11030579,0.00222970
11.15798950,0.00217802
11.20567322,0.00208231
11.25335693,0.00181213
11.30104065,0.00124720
11.34872437,0.00089629
11.39640808,0.00396952
11.44409180,0.00659768
11.49177551,0.00818859
11.53945923,0.00920512
11.58714294,0.00795281
11.63482666,0.00570338
11.68251038,0.00455575
11.73019409,0.00391402
11.77787781,0.00344684
11.82556152,0.00306882
11.87324524,0.00263771
11.92092896,0.00217581
11.96861267,0.00165886
12.01629639,0.00114429
12.06398010,0.00082473
12.11166382,0.00067797
12.15934753,0.00076108
12.20703125,0.00122501
12.25471497,0.00227490
12.30239868,0.00432663
12.35008240,0.00810454
12.39776611,0.01042391
12.44544983,0.00821479
12.49313354,0.00657139
12.54081726,0.00668508
12.58850098,0.00910991
12.63618469,0.00866970
12.68386841,0.00530499
12.73155212,0.00320658
12.77923584,0.00208979
12.82691956,0.00127406
12.87460327,0.00092147
12.92228699,0.00094287
12.96997070,0.00110088
13.01765442,0.00130238
13.06533813,0.00160058
13.11302185,0.00203885
13.16070557,0.00254878
13.20838928,0.00292373
13.25607300,0.00350303
13.30375671,0.00417597
13.35144043,0.00514051
13.39912415,0.00700327
13.44680786,0.00860902
13.49449158,0.00811296
13.54217529,0.00676799
13.58985901,0.00496122
13.63754272,0.00225496
13.68522644,0.00168672
13.73291016,0.00220699
13.78059387,0.00235284
13.82827759,0.00226830
13.87596130,0.00230120
13.92364502,0.00249343
13.97132874,0.00264681
14.01901245,0.00262781
14.06669617,0.00242092
14.11437988,0.00224340
14.16206360,0.00211547
14.20974731,0.00196559
14.25743103,0.00164627
14.30511475,0.00127220
14.35279846,0.00108832
14.40048218,0.00255827
14.44816589,0.00744884
14.49584961,0.01222828
14.54353333,0.01166702
14.59121704,0.00974055
14.63890076,0.00738247
14.68658447,0.00612016
14.73426819,0.00725641
14.78195190,0.00569510
14.82963562,0.00407154
14.87731934,0.00298026
14.92500305,0.00226671
14.97268677,0.00172517
15.02037048,0.00122921
15.06805420,0.00073047
15.11573792,0.00031879
15.16342163,0.00034866
15.21110535,0.00068243
15.25878906,0.00118864
15.30647278,0.00194661
15.35415649,0.00297944
15.40184021,0.00453053
15.44952393,0.00857887
15.49720764,0.02129678
15.54489136,0.03614301
15.59257507,0.03879935
15.64025879,0.03578686
15.68794250,0.02832614
15.73562622,0.01171922
15.78330994,0.00274633
15.83099365,0.00232617
15.87867737,0.00129222
15.92636108,0.00090401
15.97404480,0.00112773
16.02172852,0.00153610
16.06941223,0.00187568
16.11709595,0.00208721
16.16477966,0.00227034
16.21246338,0.00255098
16.26014709,0.00283123
16.30783081,0.00308670
16.35551453,0.00314564
16.40319824,0.00322397
16.45088196,0.00333015
16.49856567,0.00582184
16.54624939,0.02139800
16.59393311,0.04230293
16.64161682,0.04965680
16.68930054,0.04977103
16.73698425,0.04351417
16.78466797,0.02323145
16.83235168,0.00676103
16.88003540,0.00347228
16.92771912,0.00320793
16.97540283,0.00310778
17.02308655,0.00307443
17.07077026,0.00288228
17.11845398,0.00250377
17.16613770,0.00222909
17.21382141,0.00195249
17.26150513,0.00169036
17.30918884,0.00142804
17.35687256,0.00108884
17.40455627,0.00088404
17.45223999,0.00131794
17.49992371,0.00253670
17.54760742,0.00310524
17.59529114,0.00928588
17.64297485,0.02520387
17.69065857,0.03313126
17.73834229,0.03635553
17.78602600,0.03474476
17.83370972,0.02116763
17.88139343,0.00860758
17.92907715,0.00452295
17.97676086,0.00299610
18.02444458,0.00194620
18.07212830,0.00124724
18.11981201,0.00091454
18.16749573,0.00086874
18.21517944,0.00104284
18.26286316,0.00139978
18.31054688,0.00183370
18.35823059,0.00222980
18.40591431,0.00263570
18.45359802,0.00308764
18.50128174,0.00382940
18.54896545,0.00528012
18.59664917,0.00693865
18.64433289,0.00623533
18.69201660,0.00605846
18.73970032,0.00754802
18.78738403,0.00908857
18.83506775,0.00998148
18.88275146,0.00639280
18.93043518,0.00224471
18.97811890,0.00098002
19.02580261,0.00117456
19.07348633,0.00151649
19.12117004,0.00175591
19.16885376,0.00203725
19.21653748,0.00242902
19.26422119,0.00284870
19.31190491,0.00302914
19.35958862,0.00297038
19.40727234,0.00273360
19.45495605,0.00236649
19.50263977,0.00210866
19.55032349,0.00195058
19.59800720,0.00166872
19.64569092,0.00100232
19.69337463,0.00109421
19.74105835,0.00452988
19.78874207,0.00697004
19.83642578,0.00873480
19.88410950,0.00946040
19.93179321,0.00750227
19.97947693,0.00514792
20.02716064,0.00408387
20.07484436,0.00347748
20.12252808,0.00292652
20.17021179,0.00235870
20.21789551,0.00182294
20.26557922,0.00136245
20.31326294,0.00097961
20.36094666,0.00069507
20.40863037,0.00047001
20.45631409,0.00059923
20.50399780,0.00099195
20.55168152,0.00177951
20.59936523,0.00313866
20.64704895,0.00553423
20.69473267,0.00926544
20.74241638,0.01023466
20.79010010,0.00759312
20.83778381,0.00667306
20.88546753,0.00757300
20.93315125,0.00976136
20.98083496,0.00807612
21.02851868,0.00462051
21.07620239,0.00275518
21.12388611,0.00172418
21.17156982,0.00103826
21.21925354,0.00079728
21.26693726,0.00096529
21.31462097,0.00115666
21.36230469,0.00140228
21.40998840,0.00180363
21.45767212,0.00219491
21.50535583,0.00272911
21.55303955,0.00335538
21.60072327,0.00388882
21.64840698,0.00444074
21.69609070,0.00536778
21.74377441,0.00708457
21.79145813,0.00830428
21.83914185,0.00760673
21.88682556,0.00629502
21.93450928,0.00432800
21.98219299,0.00191722
22.02987671,0.00175887
22.07756042,0.00235523
22.12524414,0.00258972
22.17292786,0.00270825
22.22061157,0.00291545
22.26829529,0.00301957
22.31597900,0.00278921
22.36366272,0.00250310
22.41134644,0.00225061
22.45903015,0.00196248
22.50671387,0.00169857
22.55439758,0.00154214
22.60208130,0.00135359
22.64976501,0.00102541
22.69744873,0.00094901
22.74513245,0.00338063
22.79281616,0.00923283
22.84049988,0.01315616
22.88818359,0.01167940
22.93586731,0.00976241
22.98355103,0.00695627
23.03123474,0.00654159
23.07891846,0.00692904
23.12660217,0.00522836
23.17428589,0.00389140
23.22196960,0.00289471
23.26965332,0.00206704
23.31733704,0.00158305
23.36502075,0.00125649
23.41270447,0.00099606
23.46038818,0.00083819
23.50807190,0.00110308
23.55575562,0.00158424
23.60343933,0.00220883
23.65112305,0.00289527
23.69880676,0.00368567
23.74649048,0.00492348
23.79417419,0.00986040
23.84185791,0.02459255
23.88954163,0.03765171
23.93722534,0.03818685
23.98490906,0.03518402
24.03259277,0.02551266
24.08027649,0.00861049
24.12796021,0.00201943
24.17564392,0.00108766
24.22332764,0.00016015
24.27101135,0.00069529
24.31869507,0.00104188
24.36637878,0.00140728
24.41406250,0.00170613
24.46174622,0.00204705
24.50942993,0.00248493
24.55711365,0.00285820
24.60479736,0.00322637
24.65248108,0.00339337
24.70016479,0.00339700
24.74784851,0.00344400
24.79553223,0.00350942
24.84321594,0.00764172
24.89089966,0.02593557
24.93858337,0.04459591
24.98626709,0.04911809
25.03395081,0.04890915
25.08163452,0.03926839
25.12931824,0.01786675
25.17700195,0.00518774
25.22468567,0.00366647
25.27236938,0.00333656
25.32005310,0.00300074
25.36773682,0.00267922
25.41542053,0.00243219
25.46310425,0.00225928
25.51078796,0.00202482
25.55847168,0.00174331
25.60615540,0.00134640
25.65383911,0.00101808
25.70152283,0.00065512
25.74920654,0.00034098
25.79689026,0.00097473
25.84457397,0.00251168
25.89225769,0.00315058
25.93994141,0.01312353
25.98762512,0.02773831
26.03530884,0.03333810
26.08299255,0.03615895
26.13067627,0.03185512
26.17835999,0.01695105
26.22604370,0.00644076
26.27372742,0.00350301
26.32141113,0.00229370
26.36909485,0.00166609
26.41677856,0.00128422
26.46446228,0.00094100
26.51214600,0.00090291
26.55982971,0.00120419
26.60751343,0.00157649
26.65519714,0.00205653
26.70288086,0.00253998
26.75056458,0.00301245
26.79824829,0.00352978
26.84593201,0.00420883
26.89361572,0.00541955
26.94129944,0.00658605
26.98898315,0.00512924
27.03666687,0.00595807
27.08435059,0.00752751
27.13203430,0.00923632
27.17971802,0.00908171
27.22740173,0.00465661
27.27508545,0.00133983
27.32276917,0.00145104
27.37045288,0.00179912
27.41813660,0.00203738
27.46582031,0.00222881
27.51350403,0.00234448
27.56118774,0.00227383
27.60887146,0.00226473
27.65655518,0.00223624
27.70423889,0.00216839
