Частота,Канал A
(kГц),(В)

0.00000000,3.81019200
0.04768372,2.63218900
0.09536743,1.74277800
0.14305115,0.46971240
0.19073486,0.06103896
0.23841858,0.12364590
0.28610229,0.13968620
0.33378601,0.13387930
0.38146973,0.11855490
0.42915344,0.12045920
0.47683716,0.13719780
0.52452087,0.13616860
0.57220459,0.12034570
0.61988831,0.11814700
0.66757202,0.13442930
0.71525574,0.13823620
0.76293945,0.12288670
0.81062317,0.11599090
0.85830688,0.13008020
0.90599060,0.13807130
0.95367432,0.12481120
1.00135803,0.11432180
1.04904175,0.12574500
1.09672546,0.13757470
1.14440918,0.12773710
1.19209290,0.11425300
1.23977661,0.12177150
1.28746033,0.13572840
1.33514404,0.12972010
1.38282776,0.11419240
1.43051147,0.11751140
1.47819519,0.13266030
1.52587891,0.13122910
1.57356262,0.11489790
1.62124634,0.11370270
1.66893005,0.12850800
1.71661377,0.13166160
1.76429749,0.11614620
1.81198120,0.11083160
1.85966492,0.12417110
1.90734863,0.13164170
1.95503235,0.11817530
2.00271606,0.10917070
2.05039978,0.11993230
2.09808350,0.13071840
2.14576721,0.12008470
2.19345093,0.10786070
2.24113464,0.11509290
2.28881836,0.12816360
2.33650208,0.12138380
2.38418579,0.10722760
2.43186951,0.11066710
2.47955322,0.12483460
2.52723694,0.12221920
2.57492065,0.10712180
2.62260437,0.10637140
2.67028809,0.12017890
2.71797180,0.12187770
2.76565552,0.10736850
2.81333923,0.10285990
2.86102295,0.11538850
2.90870667,0.12115140
2.95639038,0.10821960
3.00407410,0.10011410
3.05175781,0.11036360
3.09944153,0.11944440
3.14712524,0.10914570
3.19480896,0.09834881
3.24249268,0.10541460
3.29017639,0.11655370
3.33786011,0.10951030
3.38554382,0.09664672
3.43322754,0.10008100
3.48091125,0.11229470
3.52859497,0.10904800
3.57627869,0.09549554
3.62396240,0.09550291
3.67164612,0.10798500
3.71932983,0.10881080
3.76701355,0.09556568
3.81469727,0.09190452
3.86238098,0.10288560
3.91006470,0.10696460
3.95774841,0.09500408
4.00543213,0.08821376
4.05311584,0.09734203
4.10079956,0.10448740
4.14848328,0.09469449
4.19616699,0.08536567
4.24385071,0.09192017
4.29153442,0.10124410
4.33921814,0.09453727
4.38690186,0.08374278
4.43458557,0.08734003
4.48226929,0.09744751
4.52995300,0.09364807
4.57763672,0.08182214
4.62532043,0.08198521
4.67300415,0.09217864
4.72068787,0.09203449
4.76837158,0.08058880
4.81605530,0.07788313
4.86373901,0.08735998
4.91142273,0.09031885
4.95910645,0.07997800
5.00679016,0.07469089
5.05447388,0.08257695
5.10215759,0.08784461
5.14984131,0.07900655
5.19752502,0.07132131
5.24520874,0.07687332
5.29289246,0.08390096
5.34057617,0.07757420
5.38825989,0.06865839
5.43594360,0.07188389
5.48362732,0.07991334
5.53131104,0.07629932
5.57899475,0.06668716
5.62667847,0.06727633
5.67436218,0.07531504
5.72204590,0.07427360
5.76972961,0.06469205
5.81741333,0.06281902
5.86509705,0.07024390
5.91278076,0.07183508
5.96046448,0.06321752
6.00814819,0.05925830
6.05583191,0.06534807
6.10351563,0.06865575
6.15119934,0.06111310
6.19888306,0.05527527
6.24656677,0.05968511
6.29425049,0.06465586
6.34193420,0.05939740
6.38961792,0.05286979
6.43730164,0.05565833
6.48498535,0.06141695
6.53266907,0.05804373
6.58035278,0.05065720
6.62803650,0.05118315
6.67572021,0.05688442
6.72340393,0.05556150
6.77108765,0.04830151
6.81877136,0.04717289
6.86645508,0.05257942
6.91413879,0.05310566
6.96182251,0.04627299
7.00950623,0.04342774
7.05718994,0.04766047
7.10487366,0.04942585
7.15255737,0.04364911
7.20024109,0.03982251
7.24792480,0.04301567
7.29560852,0.04606085
7.34329224,0.04176448
7.39097595,0.03706014
7.43865967,0.03873259
7.48634338,0.04217608
7.53402710,0.03917327
7.58171082,0.03414033
7.62939453,0.03466124
7.67707825,0.03838276
7.72476196,0.03694882
7.77244568,0.03205104
7.82012939,0.03123437
7.86781311,0.03441840
7.91549683,0.03402771
7.96318054,0.02940313
8.01086426,0.02760435
8.05854797,0.03028574
8.10623169,0.03086692
8.15391541,0.02696663
8.20159912,0.02456124
8.24928284,0.02649121
8.29696655,0.02765290
8.34465027,0.02447535
8.39233398,0.02149723
8.44001770,0.02238646
8.48770142,0.02375259
8.53538513,0.02165750
8.58306885,0.01888089
8.63075256,0.01930292
8.67843628,0.02090194
8.72612000,0.01947656
8.77380371,0.01650919
8.82148743,0.01604692
8.86917114,0.01717661
8.91685486,0.01626668
8.96453857,0.01374228
9.01222229,0.01292353
9.05990601,0.01377828
9.10758972,0.01345683
9.15527344,0.01146179
9.20295715,0.01049188
9.25064087,0.01113374
9.29832458,0.01107750
9.34600830,0.00944375
9.39369202,0.00826727
9.44137573,0.00827292
9.48905945,0.00791437
9.53674316,0.00642281
9.58442688,0.00523735
9.63211060,0.00508783
9.67979431,0.00479829
9.72747803,0.00369774
9.77516174,0.00277576
9.82284546,0.00258816
9.87052917,0.00215840
9.91821289,0.00110017
9.96589661,0.00048001
10.01358032,0.00043840
10.06126404,0.00075101
10.10894775,0.00176725
10.15663147,0.00215225
10.20431519,0.00193129
10.25199890,0.00258794
10.29968262,0.00389455
10.34736633,0.00443199
10.39505005,0.00427111
10.44273376,0.00505580
10.49041748,0.00652692
10.53810120,0.00700713
10.58578491,0.00648997
10.63346863,0.00708395
10.68115234,0.00872783
10.72883606,0.00926088
10.77651978,0.00827925
10.82420349,0.00843732
10.87188721,0.01022071
10.91957092,0.01120157
10.96725464,0.01032162
11.01493835,0.01027949
11.06262207,0.01222177
11.11030579,0.01372429
11.15798950,0.01275721
11.20567322,0.01209964
11.25335693,0.01390401
11.30104065,0.01595817
11.34872437,0.01524681
11.39640808,0.01401577
11.44409180,0.01528048
11.49177551,0.01741371
11.53945923,0.01666330
11.58714294,0.01481648
11.63482666,0.01576857
11.68251038,0.01852167
11.73019409,0.01868890
11.77787781,0.01673698
11.82556152,0.01715291
11.87324524,0.02010422
11.92092896,0.02092042
11.96861267,0.01883687
12.01629639,0.01850771
12.06398010,0.02125736
12.11166382,0.02275582
12.15934753,0.02065818
12.20703125,0.01954318
12.25471497,0.02214196
12.30239868,0.02442563
12.35008240,0.02262769
12.39776611,0.02070379
12.44544983,0.02264438
12.49313354,0.02544325
12.54081726,0.02419676
12.58850098,0.02176781
12.63618469,0.02305334
12.68386841,0.02613627
12.73155212,0.02546677
12.77923584,0.02249372
12.82691956,0.02293115
12.87460327,0.02643380
12.92228699,0.02706579
12.96997070,0.02423845
13.01765442,0.02390371
13.06533813,0.02724247
13.11302185,0.02847129
13.16070557,0.02534246
13.20838928,0.02376118
13.25607300,0.02651164
13.30375671,0.02864539
13.35144043,0.02618421
13.39912415,0.02407292
13.44680786,0.02650042
13.49449158,0.02949027
13.54217529,0.02762057
13.58985901,0.02466627
13.63754272,0.02614515
13.68522644,0.02954007
13.73291016,0.02849432
13.78059387,0.02516171
13.82827759,0.02578628
13.87596130,0.02937882
13.92364502,0.02940271
13.97132874,0.02605162
14.01901245,0.02579565
14.06669617,0.02928185
14.11437988,0.03021771
14.16206360,0.02686949
14.20974731,0.02550019
14.25743103,0.02862967
14.30511475,0.03067982
14.35279846,0.02790552
14.40048218,0.02567772
14.44816589,0.02798283
14.49584961,0.03051401
14.54353333,0.02826344
14.59121704,0.02540236
14.63890076,0.02714117
14.68658447,0.03048246
14.73426819,0.02923114
14.78195190,0.02579529
14.82963562,0.02640622
14.87731934,0.02973489
14.92500305,0.02931819
14.97268677,0.02572821
15.02037048,0.02541023
15.06805420,0.02865293
15.11573792,0.02926241
15.16342163,0.02603618
15.21110535,0.02508144
15.25878906,0.02811635
15.30647278,0.02971809
15.35415649,0.02676998
15.40184021,0.02456759
15.44952393,0.02659622
15.49720764,0.02856188
15.54489136,0.02607281
15.59257507,0.02335956
15.64025879,0.02490061
15.68794250,0.02756220
15.73562622,0.02601549
15.78330994,0.02287632
15.83099365,0.02352595
15.87867737,0.02643498
15.92636108,0.02584330
15.97404480,0.02269769
16.02172852,0.02268494
16.06941223,0.02548207
16.11709595,0.02570219
16.16477966,0.02266436
16.21246338,0.02168549
16.26014709,0.02398404
16.30783081,0.02493037
16.35551453,0.02216635
16.40319824,0.02047214
16.45088196,0.02234781
16.49856567,0.02394120
16.54624939,0.02177442
16.59393311,0.01978253
16.64161682,0.02129815
16.68930054,0.02348568
16.73698425,0.02201116
16.78466797,0.01948428
16.83235168,0.02003114
16.88003540,0.02220289
16.92771912,0.02134806
16.97540283,0.01871993
17.02308655,0.01855535
17.07077026,0.02037426
17.11845398,0.01992948
17.16613770,0.01737262
17.21382141,0.01669898
17.26150513,0.01848450
17.30918884,0.01888989
17.35687256,0.01669162
17.40455627,0.01551799
17.45223999,0.01694612
17.49992371,0.01787807
17.54760742,0.01621621
17.59529114,0.01473325
17.64297485,0.01569686
17.69065857,0.01701329
17.73834229,0.01596725
17.78602600,0.01430702
17.83370972,0.01468164
17.88139343,0.01587916
17.92907715,0.01493564
17.97676086,0.01289787
18.02444458,0.01271767
18.07212830,0.01381497
18.11981201,0.01336857
18.16749573,0.01154180
18.21517944,0.01111516
18.26286316,0.01223253
18.31054688,0.01230291
18.35823059,0.01089769
18.40591431,0.01027502
18.45359802,0.01100105
18.50128174,0.01125666
18.54896545,0.01003405
18.59664917,0.00909226
18.64433289,0.00956307
18.69201660,0.01003563
18.73970032,0.00914399
18.78738403,0.00814043
18.83506775,0.00825611
18.88275146,0.00852480
18.93043518,0.00769238
18.97811890,0.00654868
19.02580261,0.00632754
19.07348633,0.00663551
19.12117004,0.00624674
19.16885376,0.00537779
19.21653748,0.00520339
19.26422119,0.00541413
19.31190491,0.00503925
19.35958862,0.00428599
19.40727234,0.00410281
19.45495605,0.00427029
19.50263977,0.00405843
19.55032349,0.00346182
19.59800720,0.00311601
19.64569092,0.00291696
19.69337463,0.00238897
19.74105835,0.00164314
19.78874207,0.00129140
19.83642578,0.00104270
19.88410950,0.00054945
19.93179321,0.00039916
19.97947693,0.00035085
20.02716064,0.00025941
20.07484436,0.00084066
20.12252808,0.00136793
20.17021179,0.00130659
20.21789551,0.00121021
20.26557922,0.00156641
20.31326294,0.00203619
20.36094666,0.00203893
20.40863037,0.00210975
20.45631409,0.00280936
20.50399780,0.00356605
20.55168152,0.00333632
20.59936523,0.00291723
20.64704895,0.00351123
20.69473267,0.00441709
20.74241638,0.00440269
20.79010010,0.00408103
20.83778381,0.00460874
20.88546753,0.00567994
20.93315125,0.00587114
20.98083496,0.00525811
21.02851868,0.00547383
21.07620239,0.00672078
21.12388611,0.00719657
21.17156982,0.00649739
21.21925354,0.00657385
21.26693726,0.00786343
21.31462097,0.00834373
21.36230469,0.00740809
21.40998840,0.00716528
21.45767212,0.00840956
21.50535583,0.00942836
21.55303955,0.00878443
21.60072327,0.00818301
21.64840698,0.00930595
21.69609070,0.01072078
21.74377441,0.01035011
21.79145813,0.00950575
21.83914185,0.01027770
21.88682556,0.01172902
21.93450928,0.01133013
21.98219299,0.00990281
22.02987671,0.01017136
22.07756042,0.01185812
22.12524414,0.01215441
22.17292786,0.01094286
22.22061157,0.01106383
22.26829529,0.01283315
22.31597900,0.01332412
22.36366272,0.01166365
22.41134644,0.01096524
22.45903015,0.01250725
22.50671387,0.01366175
22.55439758,0.01260525
22.60208130,0.01199529
22.64976501,0.01363586
22.69744873,0.01519134
22.74513245,0.01410807
22.79281616,0.01271415
22.84049988,0.01366110
22.88818359,0.01540696
22.93586731,0.01475838
22.98355103,0.01308725
23.03123474,0.01359808
23.07891846,0.01558296
23.12660217,0.01553188
23.17428589,0.01375953
23.22196960,0.01373276
23.26965332,0.01568562
23.31733704,0.01616154
23.36502075,0.01443973
23.41270447,0.01397052
23.46038818,0.01593234
23.50807190,0.01700950
23.55575562,0.01533716
23.60343933,0.01428422
23.65112305,0.01595086
23.69880676,0.01750033
23.74649048,0.01615732
23.79417419,0.01456186
23.84185791,0.01568468
23.88954163,0.01754113
23.93722534,0.01670176
23.98490906,0.01494042
24.03259277,0.01564939
24.08027649,0.01772216
24.12796021,0.01737644
24.17564392,0.01530950
24.22332764,0.01541363
24.27101135,0.01758321
24.31869507,0.01790660
24.36637878,0.01577798
24.41406250,0.01517574
24.46174622,0.01713930
24.50942993,0.01800930
24.55711365,0.01624446
24.60479736,0.01548135
24.65248108,0.01736265
24.70016479,0.01873396
24.74784851,0.01709893
24.79553223,0.01544045
24.84321594,0.01649548
24.89089966,0.01808641
24.93858337,0.01703617
24.98626709,0.01530882
25.03395081,0.01609225
25.08163452,0.01805046
25.12931824,0.01753375
25.17700195,0.01551399
25.22468567,0.01568484
25.27236938,0.01748173
25.32005310,0.01729133
25.36773682,0.01508419
25.41542053,0.01453540
25.46310425,0.01626764
25.51078796,0.01704747
25.55847168,0.01547037
25.60615540,0.01472477
25.65383911,0.01625939
25.70152283,0.01735539
25.74920654,0.01574019
25.79689026,0.01435732
25.84457397,0.01546866
25.89225769,0.01686816
25.93994141,0.01566877
25.98762512,0.01401423
26.03530884,0.01468061
26.08299255,0.01639106
26.13067627,0.01584157
26.17835999,0.01406363
26.22604370,0.01413878
26.27372742,0.01564800
26.32141113,0.01544209
26.36909485,0.01367929
26.41677856,0.01330399
26.46446228,0.01472827
26.51214600,0.01490507
26.55982971,0.01304679
26.60751343,0.01219463
26.65519714,0.01343566
26.70288086,0.01419190
26.75056458,0.01290835
26.79824829,0.01193781
26.84593201,0.01296639
26.89361572,0.01398036
26.94129944,0.01290211
26.98898315,0.01158068
27.03666687,0.01208749
27.08435059,0.01325615
27.13203430,0.01271852
27.17971802,0.01132707
27.22740173,0.01143250
27.27508545,0.01250234
27.32276917,0.01211738
27.37045288,0.01066141
27.41813660,0.01048334
27.46582031,0.01158176
27.51350403,0.01167804
27.56118774,0.01035570
27.60887146,0.00974978
27.65655518,0.01047135
27.70423889,0.01073442
