Частота,Канал A
(kГц),(В)

0.00000000,3.71032000
0.04768372,2.57748100
0.09536743,1.75869500
0.14305115,0.56070480
0.19073486,0.05428012
0.23841858,0.00448546
0.28610229,0.00401973
0.33378601,0.00406922
0.38146973,0.00267918
0.42915344,0.00114487
0.47683716,0.00032888
0.52452087,0.00070138
0.57220459,0.00128598
0.61988831,0.00243790
0.66757202,0.00206913
0.71525574,0.00248656
0.76293945,0.00186879
0.81062317,0.00217908
0.85830688,0.00648773
0.90599060,0.01375494
0.95367432,0.01567522
1.00135803,0.01591458
1.04904175,0.01345254
1.09672546,0.00668176
1.14440918,0.00217528
1.19209290,0.00302011
1.23977661,0.00368854
1.28746033,0.00354543
1.33514404,0.00329954
1.38282776,0.00192487
1.43051147,0.00148635
1.47819519,0.00133286
1.52587891,0.00167286
1.57356262,0.00136128
1.62124634,0.00126752
1.66893005,0.00047359
1.71661377,0.00026085
1.76429749,0.00066909
1.81198120,0.00217973
1.85966492,0.00711206
1.90734863,0.01042094
1.95503235,0.01085467
2.00271606,0.01050224
2.05039978,0.00697886
2.09808350,0.00220651
2.14576721,0.00089990
2.19345093,0.00115907
2.24113464,0.00143461
2.28881836,0.00132092
2.33650208,0.00119456
2.38418579,0.00080992
2.43186951,0.00117748
2.47955322,0.00228225
2.52723694,0.00226363
2.57492065,0.00213154
2.62260437,0.00164760
2.67028809,0.00117618
2.71797180,0.00109802
2.76565552,0.00009303
2.81333923,0.00179260
2.86102295,0.00363534
2.90870667,0.00415229
2.95639038,0.00415900
3.00407410,0.00347324
3.05175781,0.00144874
3.09944153,0.00383355
3.14712524,0.00919397
3.19480896,0.01143711
3.24249268,0.01148568
3.29017639,0.01038824
3.33786011,0.00587656
3.38554382,0.00129953
3.43322754,0.00120986
3.48091125,0.00160840
3.52859497,0.00171775
3.57627869,0.00175925
3.62396240,0.00152550
3.67164612,0.00142943
3.71932983,0.00115603
3.76701355,0.00107058
3.81469727,0.00087521
3.86238098,0.00092363
3.91006470,0.00106986
3.95774841,0.00113143
4.00543213,0.00135155
4.05311584,0.00642085
4.10079956,0.02203400
4.14848328,0.03518582
4.19616699,0.03706041
4.24385071,0.03603216
4.29153442,0.02655833
4.33921814,0.00941075
4.38690186,0.00101743
4.43458557,0.00051992
4.48226929,0.00080524
4.52995300,0.00100191
4.57763672,0.00100166
4.62532043,0.00089135
4.67300415,0.00116242
4.72068787,0.00142548
4.76837158,0.00189906
4.81605530,0.00289182
4.86373901,0.00313101
4.91142273,0.00319725
4.95910645,0.00275382
5.00679016,0.00087781
5.05447388,0.00908353
5.10215759,0.02094753
5.14984131,0.02583521
5.19752502,0.02596456
5.24520874,0.02320290
5.29289246,0.01244312
5.34057617,0.00230759
5.38825989,0.00314195
5.43594360,0.00408075
5.48362732,0.00407417
5.53131104,0.00385088
5.57899475,0.00246527
5.62667847,0.00058495
5.67436218,0.00034773
5.72204590,0.00062547
5.76972961,0.00172045
5.81741333,0.00258605
5.86509705,0.00286891
5.91278076,0.00293680
5.96046448,0.00201638
6.00814819,0.00122432
6.05583191,0.00256494
6.10351563,0.00407728
6.15119934,0.00433772
6.19888306,0.00444955
6.24656677,0.00332251
6.29425049,0.00169791
6.34193420,0.00310779
6.38961792,0.00556131
6.43730164,0.00601835
6.48498535,0.00597658
6.53266907,0.00497210
6.58035278,0.00224717
6.62803650,0.00092345
6.67572021,0.00092213
6.72340393,0.00133913
6.77108765,0.00173685
6.81877136,0.00173319
6.86645508,0.00152356
6.91413879,0.00112601
6.96182251,0.00098778
7.00950623,0.00265357
7.05718994,0.00612132
7.10487366,0.00736649
7.15255737,0.00745653
7.20024109,0.00668177
7.24792480,0.00351562
7.29560852,0.00151261
7.34329224,0.00286771
7.39097595,0.00384575
7.43865967,0.00387325
7.48634338,0.00356919
7.53402710,0.00212342
7.58171082,0.00105051
7.62939453,0.00137150
7.67707825,0.00187299
7.72476196,0.00169365
7.77244568,0.00157838
7.82012939,0.00099047
7.86781311,0.00046443
7.91549683,0.00039436
7.96318054,0.00080450
8.01086426,0.00316271
8.05854797,0.00503188
8.10623169,0.00532301
8.15391541,0.00521049
8.20159912,0.00381889
8.24928284,0.00122139
8.29696655,0.00387442
8.34465027,0.00691982
8.39233398,0.00767177
8.44001770,0.00772670
8.48770142,0.00643826
8.53538513,0.00287837
8.58306885,0.00085529
8.63075256,0.00246100
8.67843628,0.00280902
8.72612000,0.00287057
8.77380371,0.00261494
8.82148743,0.00165615
8.86917114,0.00115440
8.91685486,0.00074745
8.96453857,0.00092802
9.01222229,0.00146861
9.05990601,0.00156423
9.10758972,0.00153920
9.15527344,0.00124891
9.20295715,0.00496804
9.25064087,0.04032420
9.29832458,0.10575190
9.34600830,0.13983110
9.39369202,0.14180240
9.44137573,0.13274260
9.48905945,0.08061125
9.53674316,0.02107420
9.58442688,0.00099457
9.63211060,0.00123731
9.67979431,0.00118841
9.72747803,0.00126487
9.77516174,0.00120803
9.82284546,0.00128477
9.87052917,0.00146698
9.91821289,0.00173491
9.96589661,0.00167674
10.01358032,0.00182951
10.06126404,0.00169653
10.10894775,0.00160021
10.15663147,0.00099703
10.20431519,0.00247105
10.25199890,0.01155038
10.29968262,0.02028440
10.34736633,0.02210716
10.39505005,0.02205621
10.44273376,0.01759018
10.49041748,0.00746753
10.53810120,0.00159027
10.58578491,0.00255392
10.63346863,0.00301664
10.68115234,0.00299632
10.72883606,0.00257143
10.77651978,0.00127974
10.82420349,0.00042661
10.87188721,0.00134996
10.91957092,0.00174840
10.96725464,0.00233021
11.01493835,0.00262804
11.06262207,0.00259215
11.11030579,0.00244989
11.15798950,0.00135836
11.20567322,0.00039396
11.25335693,0.00169912
11.30104065,0.00243224
11.34872437,0.00257986
11.39640808,0.00242988
11.44409180,0.00150050
11.49177551,0.00190956
11.53945923,0.00553608
11.58714294,0.00786580
11.63482666,0.00795960
11.68251038,0.00754132
11.73019409,0.00514630
11.77787781,0.00163418
11.82556152,0.00031658
11.87324524,0.00063835
11.92092896,0.00119390
11.96861267,0.00161724
12.01629639,0.00166598
12.06398010,0.00172391
12.11166382,0.00134569
12.15934753,0.00122521
12.20703125,0.00240877
12.25471497,0.00391809
12.30239868,0.00414804
12.35008240,0.00419586
12.39776611,0.00330114
12.44544983,0.00202466
12.49313354,0.00451344
12.54081726,0.00866082
12.58850098,0.00983795
12.63618469,0.00970267
12.68386841,0.00818906
12.73155212,0.00386384
12.77923584,0.00145330
12.82691956,0.00169078
12.87460327,0.00194769
12.92228699,0.00201836
12.96997070,0.00186219
13.01765442,0.00103869
13.06533813,0.00029507
13.11302185,0.00084920
13.16070557,0.00160788
13.20838928,0.00386166
13.25607300,0.00506072
13.30375671,0.00533549
13.35144043,0.00497777
13.39912415,0.00292899
13.44680786,0.00127359
13.49449158,0.00178439
13.54217529,0.00246720
13.58985901,0.00253131
13.63754272,0.00250232
13.68522644,0.00163380
13.73291016,0.00089855
13.78059387,0.00198814
13.82827759,0.00319094
13.87596130,0.00324317
13.92364502,0.00308040
13.97132874,0.00224780
14.01901245,0.00081279
14.06669617,0.00038903
14.11437988,0.00037402
14.16206360,0.00183503
14.20974731,0.00292552
14.25743103,0.00303266
14.30511475,0.00286068
14.35279846,0.00237249
14.40048218,0.00504838
14.44816589,0.02272022
14.49584961,0.04503956
14.54353333,0.05170831
14.59121704,0.05179467
14.63890076,0.04387116
14.68658447,0.02091711
14.73426819,0.00472772
14.78195190,0.00293497
14.82963562,0.00356377
14.87731934,0.00364789
14.92500305,0.00337085
14.97268677,0.00221096
15.02037048,0.00142709
15.06805420,0.00125339
15.11573792,0.00134807
15.16342163,0.00130071
15.21110535,0.00108639
15.25878906,0.00053338
15.30647278,0.00048593
15.35415649,0.00090683
15.40184021,0.00366450
15.44952393,0.01130201
15.49720764,0.01618503
15.54489136,0.01676404
15.59257507,0.01622789
15.64025879,0.01081595
15.68794250,0.00351930
15.73562622,0.00067710
15.78330994,0.00020537
15.83099365,0.00027683
15.87867737,0.00057681
15.92636108,0.00057910
15.97404480,0.00047850
16.02172852,0.00079882
16.06941223,0.00149212
16.11709595,0.00143658
16.16477966,0.00155931
16.21246338,0.00148475
16.26014709,0.00129000
16.30783081,0.00105478
16.35551453,0.00030674
16.40319824,0.00292802
16.45088196,0.00570205
16.49856567,0.00641279
16.54624939,0.00639952
16.59393311,0.00528412
16.64161682,0.00224250
16.68930054,0.00255280
16.73698425,0.00588167
16.78466797,0.00717674
16.83235168,0.00703123
16.88003540,0.00606453
16.92771912,0.00301623
16.97540283,0.00001695
17.02308655,0.00147634
17.07077026,0.00174430
17.11845398,0.00179844
17.16613770,0.00187880
17.21382141,0.00168280
17.26150513,0.00171599
17.30918884,0.00102875
17.35687256,0.00039344
17.40455627,0.00039635
17.45223999,0.00047662
17.49992371,0.00043253
17.54760742,0.00040460
17.59529114,0.00041616
17.64297485,0.00290490
17.69065857,0.01001622
17.73834229,0.01580719
17.78602600,0.01658625
17.83370972,0.01610071
17.88139343,0.01176300
17.92907715,0.00433712
17.97676086,0.00104285
18.02444458,0.00079558
18.07212830,0.00120139
18.11981201,0.00147404
18.16749573,0.00138801
18.21517944,0.00121129
18.26286316,0.00091065
18.31054688,0.00098869
18.35823059,0.00183637
18.40591431,0.00323918
18.45359802,0.00359169
18.50128174,0.00365015
18.54896545,0.00319414
18.59664917,0.00371503
18.64433289,0.01596460
18.69201660,0.03549228
18.73970032,0.04306682
18.78738403,0.04329346
18.83506775,0.03867669
18.88275146,0.02056816
18.93043518,0.00503577
18.97811890,0.00276409
19.02580261,0.00335111
19.07348633,0.00342007
19.12117004,0.00327568
19.16885376,0.00222525
19.21653748,0.00072172
19.26422119,0.00022005
19.31190491,0.00078827
19.35958862,0.00208978
19.40727234,0.00284797
19.45495605,0.00302204
19.50263977,0.00307860
19.55032349,0.00220181
19.59800720,0.00160370
19.64569092,0.00365455
19.69337463,0.00565496
19.74105835,0.00594895
19.78874207,0.00583508
19.83642578,0.00405841
19.88410950,0.00177036
19.93179321,0.00269332
19.97947693,0.00445967
20.02716064,0.00467351
20.07484436,0.00448810
20.12252808,0.00352425
20.17021179,0.00141563
20.21789551,0.00087345
20.26557922,0.00067657
20.31326294,0.00104437
20.36094666,0.00157143
20.40863037,0.00165700
20.45631409,0.00156775
20.50399780,0.00139289
20.55168152,0.00140222
20.59936523,0.00412935
20.64704895,0.00906081
20.69473267,0.01097211
20.74241638,0.01107093
20.79010010,0.00980104
20.83778381,0.00522856
20.88546753,0.00209194
20.93315125,0.00293931
20.98083496,0.00380465
21.02851868,0.00383922
21.07620239,0.00370382
21.12388611,0.00251523
21.17156982,0.00148837
21.21925354,0.00162141
21.26693726,0.00194098
21.31462097,0.00180462
21.36230469,0.00172252
21.40998840,0.00125857
21.45767212,0.00072933
21.50535583,0.00035155
21.55303955,0.00112402
21.60072327,0.00449645
21.64840698,0.00699233
21.69609070,0.00733057
21.74377441,0.00726566
21.79145813,0.00517208
21.83914185,0.00156517
21.88682556,0.00189971
21.93450928,0.00347816
21.98219299,0.00385430
22.02987671,0.00370577
22.07756042,0.00282848
22.12524414,0.00112040
22.17292786,0.00140298
22.22061157,0.00250604
22.26829529,0.00250664
22.31597900,0.00235086
22.36366272,0.00207617
22.41134644,0.00141115
22.45903015,0.00116468
22.50671387,0.00067505
22.55439758,0.00148247
22.60208130,0.00251790
22.64976501,0.00275872
22.69744873,0.00266150
22.74513245,0.00218478
22.79281616,0.00142774
22.84049988,0.00705782
22.88818359,0.01757895
22.93586731,0.02268912
22.98355103,0.02270830
23.03123474,0.02096458
23.07891846,0.01226115
23.12660217,0.00265292
23.17428589,0.00075192
23.22196960,0.00102225
23.26965332,0.00086222
23.31733704,0.00093758
23.36502075,0.00091379
23.41270447,0.00107130
23.46038818,0.00086683
23.50807190,0.00120436
23.55575562,0.00138729
23.60343933,0.00167175
23.65112305,0.00173136
23.69880676,0.00181252
23.74649048,0.00081907
23.79417419,0.01871607
23.84185791,0.07879232
23.88954163,0.13617260
23.93722534,0.14784810
23.98490906,0.14662470
24.03259277,0.11460790
24.08027649,0.04634555
24.12796021,0.00619712
24.17564392,0.00204015
24.22332764,0.00234916
24.27101135,0.00219540
24.31869507,0.00180946
24.36637878,0.00073364
24.41406250,0.00056984
24.46174622,0.00117575
24.50942993,0.00127423
24.55711365,0.00213591
24.60479736,0.00268902
24.65248108,0.00284644
24.70016479,0.00275926
24.74784851,0.00144870
24.79553223,0.00175813
24.84321594,0.00453790
24.89089966,0.00583278
24.93858337,0.00594736
24.98626709,0.00549730
25.03395081,0.00323249
25.08163452,0.00129584
25.12931824,0.00400226
25.17700195,0.00566353
25.22468567,0.00573049
25.27236938,0.00535948
25.32005310,0.00338470
25.36773682,0.00078432
25.41542053,0.00056989
25.46310425,0.00053646
25.51078796,0.00124443
25.55847168,0.00201003
25.60615540,0.00221246
25.65383911,0.00222642
25.70152283,0.00175750
25.74920654,0.00142021
25.79689026,0.00267546
25.84457397,0.00442916
25.89225769,0.00474015
25.93994141,0.00474658
25.98762512,0.00374756
26.03530884,0.00202179
26.08299255,0.00352323
26.13067627,0.00665472
26.17835999,0.00750317
26.22604370,0.00727654
26.27372742,0.00599893
26.32141113,0.00274217
26.36909485,0.00116345
26.41677856,0.00127168
26.46446228,0.00147933
26.51214600,0.00166677
26.55982971,0.00166483
26.60751343,0.00117943
26.65519714,0.00065545
26.70288086,0.00061853
26.75056458,0.00174227
26.79824829,0.00462313
26.84593201,0.00600539
26.89361572,0.00626748
26.94129944,0.00600027
26.98898315,0.00360075
27.03666687,0.00152602
27.08435059,0.00208982
27.13203430,0.00294522
27.17971802,0.00292112
27.22740173,0.00270176
27.27508545,0.00167206
27.32276917,0.00088496
27.37045288,0.00170488
27.41813660,0.00267446
27.46582031,0.00278069
27.51350403,0.00265498
27.56118774,0.00180224
27.60887146,0.00064779
27.65655518,0.00055868
27.70423889,0.00034765
