,m,A_base,A_base_dd,A_side,A_side_dd,A_base_ed,A_side_ed,A_ratio,A_ratio_ed,A_ratio_dd,m(в ед.),dummy
0,10.0,704.5913250000001,0.04129632701584963,35.1040835,0.02291422063649999,0.005861032566055169,0.06527508583581164,4.982190704661315,0.06553768788729837,0.003265212593970924,10.0,0
1,15.0,705.80838,0.036374379068674786,52.78673249999999,0.01999453833999384,0.005153577103841524,0.037877961739711474,7.4789041892645125,0.038226945241809286,0.002858956609117526,15.0,0
2,30.0,705.53304,0.03779223284165573,105.7374125,0.025038983243954368,0.005356550395096413,0.023680344214924275,14.98688317984371,0.024278618870778156,0.003638608247843013,30.0,0
3,45.0,705.1793299999999,0.02618722277833071,158.74154749999997,0.028730514910443598,0.003713555072343188,0.018098925809226854,22.510805513825822,0.018475973769282738,0.004159090521988712,45.0,0
4,60.0,705.051385,0.036781475797496174,211.7076325,0.04137229104734776,0.005216850371479828,0.01954218209272534,30.027262835601693,0.02022652735255472,0.006073472530666474,60.0,0
5,75.0,704.779785,0.031618991024717706,264.6163575,0.045128450842908084,0.004486364634410975,0.017054293721395542,37.54596302730221,0.017634523015055577,0.006621051491273866,75.0,0
6,90.0,704.62238,0.031091373486279324,317.3478025,0.04566719134372453,0.004412487364690194,0.01439026550175167,45.03799645137584,0.015051570879959834,0.00677892595879263,90.0,0
7,100.0,704.7086400000001,0.07855345628765621,353.44129499999997,0.06344165085700018,0.011146940995026854,0.017949699640218947,50.15424459674568,0.021129269053156725,0.010597225282424714,100.0,0

